Der Herr der Ringe; J.R.R. Tolkien; Fantasy; 978-3-16-148410-0
The Old Man and the Sea; Ernest Hemingway; Klassik; 978-0-684-80122-3
A Farewell to Arms; Ernest Hemingway; Historisch; 978-0-684-80146-9
For Whom the Bell Tolls; Ernest Hemingway; Historisch; 978-0-684-80147-6
The Sun Also Rises; Ernest Hemingway; Klassik; 978-0-684-80148-3
The Grapes of Wrath; John Steinbeck; Historisch; 978-0-14-303943-3
Of Mice and Men; John Steinbeck; Klassik; 978-0-14-017739-8
East of Eden; John Steinbeck; Klassik; 978-0-14-200423-4
The Pearl; John Steinbeck; Klassik; 978-0-14-017737-4
The Scarlet Letter; Nathaniel Hawthorne; Klassik; 978-0-14-243726-1
The Adventures of Huckleberry Finn; Mark Twain; Abenteuer; 978-0-14-243717-9
The Adventures of Tom Sawyer; Mark Twain; Abenteuer; 978-0-14-243720-9
The Call of the Wild; Jack London; Abenteuer; 978-0-14-243717-9
White Fang; Jack London; Abenteuer; 978-0-14-243717-9
The Jungle Book; Rudyard Kipling; Abenteuer; 978-0-14-243717-9
Treasure Island; Robert Louis Stevenson; Abenteuer; 978-0-14-243717-9
The Strange Case of Dr Jekyll and Mr Hyde; Robert Louis Stevenson; Horror; 978-0-14-243717-9
The Time Machine; H.G. Wells; Science Fiction; 978-0-14-243717-9
The War of the Worlds; H.G. Wells; Science Fiction; 978-0-14-243717-9
The Invisible Man; H.G. Wells; Science Fiction; 978-0-14-243717-9
The Island of Doctor Moreau; H.G. Wells; Science Fiction; 978-0-14-243717-9
The Catcher in the Rye; J.D. Salinger; Klassik; 978-0-14-243717-9
The Great Gatsby; F. Scott Fitzgerald; Klassik; 978-0-14-243717-9
To Kill a Mockingbird; Harper Lee; Klassik; 978-0-14-243717-9
1984; George Orwell; Dystopie; 978-0-14-243717-9
Animal Farm; George Orwell; Dystopie; 978-0-14-243717-9
Brave New World; Aldous Huxley; Dystopie; 978-0-14-243717-9
Fahrenheit 451; Ray Bradbury; Dystopie; 978-0-14-243717-9
The Handmaid's Tale; Margaret Atwood; Dystopie; 978-0-14-243717-9
The Road; Cormac McCarthy; Dystopie; 978-0-14-243717-9
The Hunger Games; Suzanne Collins; Dystopie; 978-0-14-243717-9
Catching Fire; Suzanne Collins; Dystopie; 978-0-14-243717-9
Mockingjay; Suzanne Collins; Dystopie; 978-0-14-243717-9
Divergent; Veronica Roth; Dystopie; 978-0-14-243717-9
Insurgent; Veronica Roth; Dystopie; 978-0-14-243717-9
Allegiant; Veronica Roth; Dystopie; 978-0-14-243717-9
The Maze Runner; James Dashner; Dystopie; 978-0-14-243717-9
The Scorch Trials; James Dashner; Dystopie; 978-0-14-243717-9
The Death Cure; James Dashner; Dystopie; 978-0-14-243717-9
The Hobbit; J.R.R. Tolkien; Fantasy; 978-0-14-243717-9
The Fellowship of the Ring; J.R.R. Tolkien; Fantasy; 978-0-14-243717-9
The Two Towers; J.R.R. Tolkien; Fantasy; 978-0-14-243717-9
The Return of the King; J.R.R. Tolkien; Fantasy; 978-0-14-243717-9
Harry Potter and the Philosopher's Stone; J.K. Rowling; Fantasy; 978-0-14-243717-9
Harry Potter and the Chamber of Secrets; J.K. Rowling; Fantasy; 978-0-14-243717-9
Harry Potter and the Prisoner of Azkaban; J.K. Rowling; Fantasy; 978-0-14-243717-9
Harry Potter and the Goblet of Fire; J.K. Rowling; Fantasy; 978-0-14-243717-9
Harry Potter and the Order of the Phoenix; J.K. Rowling; Fantasy; 978-0-14-243717-9
Harry Potter and the Half-Blood Prince; J.K. Rowling; Fantasy; 978-0-14-243717-9
Harry Potter and the Deathly Hallows; J.K. Rowling; Fantasy; 978-0-14-243717-9
The Chronicles of Narnia; C.S. Lewis; Fantasy; 978-0-14-243717-9
The Lion, the Witch and the Wardrobe; C.S. Lewis; Fantasy; 978-0-14-243717-9
Prince Caspian; C.S. Lewis; Fantasy; 978-0-14-243717-9
The Voyage of the Dawn Treader; C.S. Lewis; Fantasy; 978-0-14-243717-9

